Name,Model,Price,Dealer,Used,Condition,Mileage,MPG,Body Style,Exterior Color,Interior Color,Transmission,Drive Train,Fuel Type,Engine,Other Features
2015 BMW,Z4 sDrive28i," $29,990 ",Carvana Newark,"69,809 mi",USED,"69,809",22 City / 34 Hwy,Convertible,Gray,––,Automatic,RWD,Gasoline,4 Cyl,"[' AM/FM ', ' Air Conditioning ', ' Alloy Wheels ', ' Anti-Lock Brakes ', ' Anti-Theft System ', ' Bluetooth ', ' CD (Single Disc) ', ' Dual Airbags ', ' Front Knee Airbags (Driver) ', ' Front Knee Airbags (Passenger) ', ' HD Radio ', ' Handsfree/Bluetooth Integration ', ' Hard Top ', ' High Intensity Discharge Headlights ', ' Keyless Entry ', ' Keyless Ignition ', ' MP3 ', ' Power Locks ', ' Power Seat (Dual) ', ' Power Steering ', ' Power Top ', ' Power Windows ', ' Rear Air Conditioning ', ' Rollover Protection Bars ', ' Satellite Radio ', ' Side Airbags ', ' Stability Control ', ' Traction Control ']"
2018 Ford,Mustang EcoBoost Premium," $29,990 ",Carvana Newark,"35,277 mi",USED,"35,277",21 City / 29 Hwy,Convertible,Black,Red,Automatic,RWD,Gasoline,4 Cyl,"[' AM/FM ', ' Adjustable Steering Wheel ', ' Air Conditioning ', ' Alloy Wheels ', ' Anti-Lock Brakes ', ' Anti-Theft System ', ' Bluetooth ', ' CD (Single Disc) ', ' Cooled Seats ', ' Cruise Control ', ' Daytime Running Lights ', ' Dual Airbags ', ' EcoBoost ', ' Fog Lights ', ' Front Knee Airbags (Driver) ', ' Front Knee Airbags (Passenger) ', ' Heated Seats ', ' Hill Assist System ', ' Keyless Entry ', ' Keyless Ignition ', ' LED Lights ', ' Leather Seats ', ' MP3 ', ' Parking Sensors ', ' Power Locks ', ' Power Seat (Dual) ', ' Power Steering ', ' Power Top ', ' Power Windows ', ' Rear View Camera ', ' Rear-View Camera ', ' Satellite Radio ', ' Shaker Sound System ', ' Side Airbags ', ' Spoiler ', ' Stability Control ', ' Sync ', ' Traction Control ']"
2018 Mazda,MX-5 Miata RF Grand Touring," $29,990 ",Carvana New York City,"29,887 mi",USED,"29,887",26 City / 35 Hwy,Convertible,Black,Black,Automatic,RWD,Gasoline,4 Cyl,"[' AM/FM ', ' Adjustable Steering Wheel ', ' Air Conditioning ', ' Alloy Wheels ', ' Anti-Lock Brakes ', ' Anti-Theft System ', ' Blind Spot Monitor ', ' Bluetooth ', ' Daytime Running Lights ', ' Dual Airbags ', ' GPS Navigation ', ' HD Radio ', ' Handsfree/Bluetooth Integration ', ' Hard Top ', ' Heated Seats ', ' Keyless Entry ', ' Keyless Ignition ', ' LED Lights ', ' Lane Departure Warning ', ' Leather Seats ', ' Power Locks ', ' Power Steering ', ' Power Top ', ' Power Windows ', ' Rear View Camera ', ' Remote Trunk Release ', ' Side Airbags ', ' Stability Control ', ' Traction Control ']"
2018 Chevrolet,Camaro 1LT," $29,995 ",Nielsen Chevrolet,"48,451 mi",USED,"48,451",19 City / 29 Hwy,Convertible,Silver,Black,Automatic,RWD,Gasoline,6 Cyl,"[' 18 Inch Wheels ', ' 20 Inch Wheels ', ' 4-Wheel Disc Brakes ', ' 4-Wheel Independent Suspension ', ' 6 Speakers ', ' AM/FM ', ' Adjustable Seats ', ' Adjustable Steering Wheel ', ' Air Conditioning ', ' Alloy Wheels ', ' Android Auto ', ' Anti-Lock Brakes ', ' Anti-Theft System ', ' Apple Carplay ', ' Auto Climate Control ', ' Automatic Headlights ', ' Aux Audio Adapter ', ' Beverage Holder ', ' Bluetooth ', ' Body Colored Bumpers ', ' Braking Assist ', ' Chevrolet MyLink ', ' Cloth Seats ', ' Compass ', ' Cruise Control ', ' Delay-Off Headlights ', ' Door Bin ', ' Emergency Communication System ', ' Fog Lights ', ' Front Airbags (Driver) ', ' Front Airbags (Passenger) ', ' Front Anti-Roll Bar ', ' Front Bucket Seats ', ' Front Center Armrest ', ' Front Knee Airbags (Driver) ', ' Front Side Airbags (Driver) ', ' Front Side Airbags (Passenger) ', ' High Intensity Discharge Headlights ', ' Illuminated Entry ', ' Independent Suspension ', ' Intermittent Wipers ', ' Keyless Entry ', ' Keyless Ignition ', ' LED Tail Lights ', ' Leather Shift Knob Trim ', ' OnStar Communication System ', ' Panic Button ', ' Passenger Sensing Airbag ', ' Power Mirrors ', ' Power Seat (Driver) ', ' Power Seat (Passenger) ', ' Power Steering ', ' Power Top ', ' Power Windows ', ' Preferred Equipment Package ', ' Premium Sound System ', ' RS Package ', ' Radio Data System ', ' Reading Lights ', ' Rear Anti-Roll Bar ', ' Rear View Camera ', ' Rear Window Defroster ', ' Rear-View Camera ', ' Remote Start ', ' Satellite Radio ', ' Silver Wheels ', ' Speed-Sensing Steering ', ' Spoiler ', ' Sport Seats ', ' Stability Control ', ' Steering Wheel Controls ', ' Tachometer ', ' Tire Pressure Monitoring System ', ' Traction Control ', ' Trip Computer ', ' USB Adapter ', ' Vanity Mirror/Light ', ' Warranty ']"
2015 Audi,A5 Premium Plus," $29,997 ",BMW of Morristown,"23,818 mi",USED,"23,818",21 City / 29 Hwy,Convertible,Silver,Black,Automatic,AWD,Gasoline,4 Cyl,"[' 4-Wheel Disc Brakes ', ' AM/FM ', ' Adjustable Steering Wheel ', ' Advanced Front-Lighting System ', ' Air Conditioning ', ' Alloy Wheels ', ' Aluminum Door Trim ', ' Anti-Lock Brakes ', ' Anti-Theft System ', ' Auto-Dimming Mirror ', ' Automatic Headlights ', ' Bluetooth ', ' Braking Assist ', ' Bucket Seats ', ' CD (Single Disc) ', ' Compact Spare Tire ', ' Compass ', ' Cruise Control ', ' Daytime Running Lights ', ' Driver Adjustable Lumbar ', ' Dual-Zone Climate Control ', ' Floor Mats ', ' Fog Lights ', ' Front Airbags (Driver) ', ' Front Airbags (Passenger) ', ' Handsfree/Bluetooth Integration ', ' Heated Mirrors ', ' Heated Seats ', ' High Intensity Discharge Headlights ', ' High Performance Tires ', ' Integrated Garage Door Opener ', ' Keyless Entry ', ' Keyless Ignition ', ' LED Lights ', ' LED Tail Lights ', ' Leather Seats ', ' Leather Steering Wheel ', ' Lighting Package ', ' MP3 ', ' Memorized Settings ', ' Memory Mirrors ', ' Pass-Through Rear Seat ', ' Power Locks ', ' Power Mirrors ', ' Power Seat (Driver) ', ' Power Seat (Passenger) ', ' Power Steering ', ' Power Windows ', ' Premium Plus Package ', ' Rain-Sensing Wipers ', ' Rear Air Conditioning ', ' Rear Window Defroster ', ' Rollover Protection Bars ', ' S-Line Package ', ' Satellite Radio ', ' Seat Memory ', ' Side Airbag ', ' Smart Key ', ' Stability Control ', ' Steering Wheel Controls ', ' Tire Pressure Monitoring System ', ' Trip Computer ', ' Turn Signal Mirrors ', ' Vanity Mirror/Light ', ' iPod Adapter ']"
2015 Audi,A5 Premium Plus," $29,999 ",Mohegan Lake Volkswagen,"55,654 mi",USED,"55,654",21 City / 29 Hwy,Convertible,Silver,Black,Automatic,AWD,Gasoline,4 Cyl,"[' 10 Speakers ', ' 3-Point Seat Belts ', ' 4-Wheel Disc Brakes ', ' 4-Wheel Independent Suspension ', ' AM/FM ', ' Adjustable Steering Wheel ', ' Air Conditioning ', ' Alloy Wheels ', ' Anti-Lock Brakes ', ' Anti-Theft System ', ' Auto Climate Control ', ' Automatic Headlights ', ' Bluetooth ', ' Body Colored Bumpers ', ' Braking Assist ', ' CD (Single Disc) ', ' Cruise Control ', ' Delay-Off Headlights ', ' Door Bin ', ' Dual-Zone Climate Control ', ' Engine Immobilizer ', ' Fog Lights ', ' Front Airbags (Driver) ', ' Front Airbags (Passenger) ', ' Front Anti-Roll Bar ', ' Front Bucket Seats ', ' Front Center Armrest ', ' Front Knee Airbags (Driver) ', ' Front Side Airbags (Driver) ', ' Front Side Airbags (Passenger) ', ' Head Restraint Whiplash Protection ', ' Heated Mirrors ', ' Heated Seats ', ' Heated Windshield ', ' High Intensity Discharge Headlights ', ' Illuminated Entry ', ' Integrated Garage Door Opener ', ' Keyless Entry ', ' Leather Seats ', ' Leather Shift Knob Trim ', ' Leather Steering Wheel ', ' Leather Trimmed Interior ', ' MP3 ', ' Panic Button ', ' Passenger Sensing Airbag ', ' Power Adjustable Headrest ', ' Power Mirrors ', ' Power Seat (Driver) ', ' Power Seat (Passenger) ', ' Power Steering ', ' Power Top ', ' Power Windows ', ' Radio Data System ', ' Rain-Sensing Wipers ', ' Reading Lights ', ' Rear Air Conditioning ', ' Rear Anti-Roll Bar ', ' Rear Window Defroster ', ' Rollover Protection Bars ', ' Satellite Radio ', ' Seat Belt Warning System ', ' Side Airbags ', ' Speed-Sensing Steering ', ' Split/Folding Seats ', ' Sport Steering Wheel ', ' Stability Control ', ' Steering Wheel Controls ', ' Sun/Moonroof ', ' Sunroof ', ' Tachometer ', ' Thermometer ', ' Three-Zone Climate Control ', ' Tire Pressure Monitoring System ', ' Traction Control ', ' Trip Computer ', ' Turn Signal Mirrors ', ' Vanity Mirror/Light ', ' Wind Deflector ', ' iPod Adapter ']"
2015 Chevrolet,Camaro SS," $30,129 ",Generation Kia,"57,482 mi",USED,"57,482",16 City / 24 Hwy,Convertible,Red,Black,Automatic,RWD,Gasoline,8 Cyl,"[' 20 Inch Wheels ', ' 4-Wheel Disc Brakes ', ' 4-Wheel Independent Suspension ', ' 8 Speakers ', ' AM/FM ', ' Adjustable Seats ', ' Adjustable Steering Wheel ', ' Air Conditioning ', ' Alloy Wheels ', ' Anti-Lock Brakes ', ' Anti-Theft System ', ' Auto-Dimming Mirror ', ' Automatic Headlights ', ' Beverage Holder ', ' Bluetooth ', ' Body Colored Bumpers ', ' Boston Acoustic Sound System ', ' Braking Assist ', ' Cargo Cover ', ' Chevrolet MyLink ', ' Child Seat Anchors ', ' Compass ', ' Cruise Control ', ' Cup Holder ', ' Delay-Off Headlights ', ' Digital Info Center ', ' Door Bin ', ' Dual Exhaust ', ' Emergency Communication System ', ' Floor Mats ', ' Fog Lights ', ' Front Airbags (Driver) ', ' Front Airbags (Passenger) ', ' Front Anti-Roll Bar ', ' Front Bucket Seats ', ' Front Center Armrest ', ' Front Side Airbags (Driver) ', ' Front Side Airbags (Passenger) ', ' GPS Navigation ', ' Head-Up Display ', ' Heated Mirrors ', ' Heated Seats ', ' Illuminated Entry ', ' Independent Suspension ', ' Integrated Garage Door Opener ', ' Intermittent Wipers ', ' Keyless Entry ', ' Leather Seats ', ' Leather Shift Knob Trim ', ' Leather Steering Wheel ', ' Leather Trimmed Interior ', ' Maintenance Free Battery ', ' OnStar Communication System ', ' Panic Button ', ' Parking Assist System ', ' Parking Sensors ', ' Passenger Sensing Airbag ', ' Power Locks ', ' Power Mirrors ', ' Power Seat (Driver) ', ' Power Seat (Passenger) ', ' Power Steering ', ' Power Top ', ' Power Windows ', ' Preferred Equipment Package ', ' Radio Data System ', ' Reading Lights ', ' Rear Anti-Roll Bar ', ' Rear View Camera ', ' Rear Window Defroster ', ' Rear-View Camera ', ' Remote Start ', ' Satellite Radio ', ' Speed-Sensing Steering ', ' Spoiler ', ' Sport Seats ', ' Stability Control ', ' Steering Wheel Controls ', ' Tachometer ', ' Thermometer ', ' Tire Pressure Monitoring System ', ' Touch-Screen Sound System ', ' Traction Control ', ' Trip Computer ', ' USB Audio Interface ', ' Vanity Mirror/Light ']"
2019 Ford,Mustang EcoBoost Premium," $30,131 ",Bill Vinces Bridgewater Acura,"44,259 mi",USED,"44,259",20 City / 27 Hwy,Convertible,Blue,Black,Automatic,RWD,Gasoline,4 Cyl,"[' 2-Stage Unlocking ', ' 3-Point Seat Belts ', ' 9 Speakers ', ' AM/FM ', ' Adaptive Cruise Control ', ' Adjustable Seats ', ' Adjustable Steering Wheel ', ' Air Conditioning ', ' Air Filtration ', ' Airbag Deactivation (Passenger) ', ' Ambient Lighting ', ' Android Auto ', ' Antenna ', ' Anti-Lock Brakes ', ' Anti-Theft System ', ' Apple Carplay ', ' Armrest Storage ', ' Auto Climate Control ', ' Auto-Dimming Mirror ', ' Automatic Headlights ', ' Aux Audio Adapter ', ' Black Grille ', ' Bluetooth ', ' Body Colored Bumpers ', ' Braking Assist ', ' Capless Fuel Filler System ', ' Cargo Area Light ', ' Center Console ', ' Chrome Trimmed Interior ', ' Clock ', ' Color Coded Mirrors ', ' Daytime Running Lights ', ' Delay-Off Headlights ', ' Digital Info Center ', ' Door Pockets ', ' Dual Exhaust ', ' Dual-Zone Climate Control ', ' EcoBoost ', ' Electronic Brake Force Distribution ', ' Electronic Messaging Assistance ', ' Engine Immobilizer ', ' Floor Mats ', ' Folding Mirrors ', ' Front Airbags (Driver) ', ' Front Airbags (Passenger) ', ' Front Crumple Zones ', ' Front Knee Airbags (Driver) ', ' Front Knee Airbags (Passenger) ', ' Front Side Airbags ', ' Front Stabilizer Bar ', ' Front Ventilated Disc Brakes ', ' Fuel Data Display ', ' Handsfree/Bluetooth Integration ', ' Heated Mirrors ', ' Hill Assist System ', ' Illuminated Entry ', ' Independent Suspension ', ' Integrated Cell Phone ', ' Integrated Garage Door Opener ', ' Intermittent Wipers ', ' Keyless Entry ', ' Keyless Ignition ', ' LED Lights ', ' LED Tail Lights ', ' Leather Seats ', ' Low Fuel Level Indicator ', ' MacPherson Front Suspension ', ' One-Touch Power Windows ', ' Panic Button ', ' Parking Sensors ', ' Passenger Sensing Airbag ', ' Post-Collision Safety System ', ' Power Locks ', ' Power Mirrors ', ' Power Outlet ', ' Power Steering ', ' Power Top ', ' Power Windows ', ' Radio Data System ', ' Reading Lights ', ' Rear Crumple Zones ', ' Rear Stabilizer Bar ', ' Rear Ventilated Disc Brakes ', ' Rear View Camera ', ' Rear Window Defroster ', ' Rear-View Camera ', ' Remote Trunk Release ', ' Remote Windows ', ' Retained Accessory Power ', ' Satellite Radio ', ' Seat Belt Pretensioners ', ' Seat Belt Warning System ', ' Side Airbags ', ' Smart Key ', ' Speed Sensitive Volume Control ', ' Spoiler ', ' Spotter Mirrors ', ' Stability Control ', ' Steering Wheel Controls ', ' Sync ', ' Tachometer ', ' Thermometer ', ' Touch-Screen Sound System ', ' Traction Control ', ' Trip Odometer ', ' Turn Signal Mirrors ', ' USB Audio Interface ', ' Vanity Mirror/Light ', ' Voice-Activated Command System ', ' Warranty ', ' Wiper Activated Headlights ', ' iPhone Adapter ', ' iPod Adapter ']"
2017 Ford,Mustang GT Premium," $30,295 ",Maplecrest Lincoln Mercury Inc,"85,823 mi",USED,"85,823",15 City / 23 Hwy,Convertible,White,White,Automatic,RWD,Gasoline,8 Cyl,"[' 2-Stage Unlocking ', ' 3-Point Seat Belts ', ' AM/FM ', ' Adjustable Headrests ', ' Adjustable Seats ', ' Adjustable Steering Wheel ', ' Air Conditioning ', ' Air Filtration ', ' Airbag Deactivation (Passenger) ', ' Alloy Wheels ', ' Ambient Lighting ', ' Antenna ', ' Anti-Lock Brakes ', ' Anti-Theft System ', ' Armrest Storage ', ' Auto Climate Control ', ' Auto-Dimming Mirror ', ' Automatic Headlights ', ' Aux Audio Adapter ', ' Bluetooth ', ' Body Colored Bumpers ', ' Braking Assist ', ' Capless Fuel Filler System ', ' Center Console ', ' Child Seat Anchors ', ' Chrome Trimmed Interior ', ' Clock ', ' Color Coded Mirrors ', ' Cooled Seats ', ' Cruise Control ', ' Daytime Running Lights ', ' Delay-Off Headlights ', ' Digital Info Center ', ' Door Pockets ', ' Driver Adjustable Lumbar ', ' Dual Exhaust ', ' Dual-Zone Climate Control ', ' Electronic Brake Force Distribution ', ' Electronic Messaging Assistance ', ' Emergency Trunk Release ', ' Floor Mats ', ' Folding Mirrors ', ' Front Airbags (Driver) ', ' Front Airbags (Passenger) ', ' Front Bucket Seats ', ' Front Crumple Zones ', ' Front Headrests ', ' Front Knee Airbags (Driver) ', ' Front Knee Airbags (Passenger) ', ' Front Side Airbags ', ' Front Stabilizer Bar ', ' Fuel Data Display ', ' Handsfree/Bluetooth Integration ', ' Heated Mirrors ', ' Heated Seats ', ' High Intensity Discharge Headlights ', ' Hill Assist System ', ' Illuminated Entry ', ' Independent Suspension ', ' Integrated Garage Door Opener ', ' Intermittent Wipers ', ' Keyless Entry ', ' Keyless Ignition ', ' LED Lights ', ' LED Tail Lights ', ' Leather Seats ', ' Limited Slip Differential ', ' Low Fuel Level Indicator ', ' MacPherson Front Suspension ', ' MyKey System ', ' One-Touch Power Windows ', ' Panic Button ', ' Passenger Sensing Airbag ', ' Post-Collision Safety System ', ' Power Locks ', ' Power Mirrors ', ' Power Outlet ', ' Power Seat (Driver) ', ' Power Seat (Passenger) ', ' Power Steering ', ' Power Top ', ' Power Windows ', ' Premium Sound System ', ' Reading Lights ', ' Rear Air Conditioning ', ' Rear Bench Seat ', ' Rear Crumple Zones ', ' Rear Headrests ', ' Rear Stabilizer Bar ', ' Rear View Camera ', ' Rear Window Defroster ', ' Rear-View Camera ', ' Remote Trunk Release ', ' Satellite Radio ', ' Seat Belt Pretensioners ', ' Seat Belt Warning System ', ' Side Impact Door Beam ', ' Smart Key ', ' Spoiler ', ' Spotter Mirrors ', ' Stability Control ', ' Steering Wheel Controls ', ' Sync ', ' Tachometer ', ' Thermometer ', ' Touch-Screen Sound System ', ' Traction Control ', ' Trip Computer ', ' Trip Odometer ', ' Turn Signal Mirrors ', ' USB Audio Interface ', ' Vanity Mirror/Light ', ' Voice-Activated Command System ', ' Warranty ']"
2018 BMW,4 Series 430i xDrive," $30,888 ",CarPoint Auto Group,"62,832 mi",USED,"62,832",22 City / 32 Hwy,Convertible,Black,Black,Automatic,AWD,Gasoline,4 Cyl,"[' AM/FM ', ' Adjustable Steering Wheel ', ' Air Conditioning ', ' Anti-Theft System ', ' Bluetooth ', ' CD (Single Disc) ', ' Clock ', ' Cruise Control ', ' Daytime Running Lights ', ' Dual-Zone Climate Control ', ' Floor Mats ', ' Fog Lights ', ' Front Airbags (Driver) ', ' Front Airbags (Passenger) ', ' Front Center Armrest ', ' HD Radio ', ' Handsfree/Bluetooth Integration ', ' Heated Mirrors ', ' Intermittent Wipers ', ' Keyless Entry ', ' Keyless Ignition ', ' Leather Steering Wheel ', ' Leather Trimmed Interior ', ' Power Mirrors ', ' Power Steering ', ' Power Windows ', ' Rear Air Conditioning ', ' Rear View Camera ', ' Rear Window Defroster ', ' Rear-View Camera ', ' Seat Memory ', ' Side Airbags ', ' Sliding Rear Window ', ' Sport Seats ', ' Stability Control ', ' Steering Wheel Controls ', ' Tachometer ', ' Tire Pressure Monitoring System ', ' Vanity Mirror/Light ']"
2016 BMW,4 Series 428i xDrive," $30,900 ",Bell Mitsubishi,"71,341 mi",USED,"71,341",21 City / 33 Hwy,Convertible,Blue,Black,Automatic,AWD,Gasoline,4 Cyl,"[' 18 Inch Wheels ', ' 4-Wheel Disc Brakes ', ' 4-Wheel Independent Suspension ', ' 9 Speakers ', ' AM/FM ', ' Adjustable Lumbar Support ', ' Adjustable Steering Wheel ', ' Air Conditioning ', ' Alloy Wheels ', ' Anti-Lock Brakes ', ' Anti-Theft System ', ' Auto Climate Control ', ' Auto-Dimming Mirror ', ' Automatic Headlights ', ' Blind Spot Monitor ', ' Bluetooth ', ' Body Colored Bumpers ', ' Braking Assist ', ' CD (Single Disc) ', ' Cold Weather Package ', ' ConnectedDrive ', ' Cruise Control ', ' Delay-Off Headlights ', ' Door Bin ', ' Driver Assistance Package ', ' Driver Assistance Plus Package ', ' Dual-Zone Climate Control ', ' Emergency Communication System ', ' Fog Lights ', ' Front Airbags (Driver) ', ' Front Airbags (Passenger) ', ' Front Anti-Roll Bar ', ' Front Bucket Seats ', ' Front Center Armrest ', ' Front Knee Airbags (Driver) ', ' Front Side Airbags (Driver) ', ' Front Side Airbags (Passenger) ', ' GPS Navigation ', ' HD Radio ', ' Handsfree/Bluetooth Integration ', ' Hard Top ', ' Harman/Kardon Sound System ', ' Head Restraint Whiplash Protection ', ' Headlight Washers ', ' Heated Mirrors ', ' Heated Seats ', ' Heated Steering Wheel ', ' High Intensity Discharge Headlights ', ' Illuminated Entry ', ' Integrated Garage Door Opener ', ' Keyless Entry ', ' Keyless Ignition ', ' Leather Seats ', ' Leather Shift Knob Trim ', ' Leather Steering Wheel ', ' Leather Trimmed Interior ', ' Leatherette Seats ', ' MP3 ', ' Navigation System ', ' Panic Button ', ' Parking Sensors ', ' Passenger Sensing Airbag ', ' Power Mirrors ', ' Power Seat (Dual) ', ' Power Steering ', ' Power Top ', ' Power Windows ', ' Premium Package ', ' Radio Data System ', ' Rain-Sensing Wipers ', ' Reading Lights ', ' Real-Time Traffic ', ' Rear Air Conditioning ', ' Rear Anti-Roll Bar ', ' Rear Center Armrest ', ' Rear View Camera ', ' Rear Window Defroster ', ' Rear-View Camera ', ' Rollover Protection Bars ', ' Satellite Radio ', ' Seat Memory ', ' Side and Top View Camera ', ' Smart Key ', ' Speed-Sensing Steering ', ' Sport Seats ', ' Sport Steering Wheel ', ' Stability Control ', ' Steering Wheel Controls ', ' Tachometer ', ' Thermometer ', ' Tire Pressure Monitoring System ', ' Traction Control ', ' Trip Computer ', ' Turn Signal Mirrors ', ' USB Audio Interface ', ' Vanity Mirror/Light ', ' Wind Deflector ', ' Wood Dash Trim ', ' Wood Door Trim ', ' Wood Trimmed Interior ']"
2015 BMW,4 Series 435i," $30,900 ",Bell Mitsubishi,"64,310 mi",USED,"64,310",20 City / 31 Hwy,Convertible,Blue,Black,Automatic,RWD,Gasoline,6 Cyl,"[' 18 Inch Wheels ', ' 4-Wheel Disc Brakes ', ' 4-Wheel Independent Suspension ', ' 9 Speakers ', ' AM/FM ', ' Adaptive Suspension ', ' Adjustable Lumbar Support ', ' Adjustable Steering Wheel ', ' Air Conditioning ', ' Alloy Wheels ', ' Aluminum Dash Trim ', ' Anti-Lock Brakes ', ' Anti-Theft System ', ' Auto Climate Control ', ' Auto-Dimming Mirror ', ' Automatic Headlights ', ' Blind Spot Monitor ', ' Bluetooth ', ' Body Colored Bumpers ', ' Braking Assist ', ' CD (Single Disc) ', ' ConnectedDrive ', ' Cruise Control ', ' Delay-Off Headlights ', ' Door Bin ', ' Driver Assistance Package ', ' Driver Assistance Plus Package ', ' Dual-Zone Climate Control ', ' Dynamic Handling Package ', ' Emergency Communication System ', ' Fog Lights ', ' Front Airbags (Driver) ', ' Front Airbags (Passenger) ', ' Front Anti-Roll Bar ', ' Front Bucket Seats ', ' Front Center Armrest ', ' Front Knee Airbags (Driver) ', ' Front Side Airbags (Driver) ', ' Front Side Airbags (Passenger) ', ' GPS Navigation ', ' HD Radio ', ' Handsfree/Bluetooth Integration ', ' Hard Top ', ' Harman/Kardon Sound System ', ' Head Restraint Whiplash Protection ', ' Head-Up Display ', ' Heated Mirrors ', ' Heated Seats ', ' High Intensity Discharge Headlights ', ' Illuminated Entry ', ' Integrated Cell Phone ', ' Integrated Garage Door Opener ', ' Keyless Entry ', ' Keyless Ignition ', ' Leather Seats ', ' Leather Shift Knob Trim ', ' Leather Steering Wheel ', ' Leather Trimmed Interior ', ' Luxury Line Package ', ' M Sport Package ', ' MP3 ', ' Navigation System ', ' Panic Button ', ' Parking Sensors ', ' Passenger Sensing Airbag ', ' Power Mirrors ', ' Power Seat (Dual) ', ' Power Steering ', ' Power Top ', ' Power Windows ', ' Premium Package ', ' Radio Data System ', ' Rain-Sensing Wipers ', ' Reading Lights ', ' Real-Time Traffic ', ' Rear Air Conditioning ', ' Rear Anti-Roll Bar ', ' Rear Center Armrest ', ' Rear View Camera ', ' Rear Window Defroster ', ' Rear-View Camera ', ' Rollover Protection Bars ', ' Satellite Radio ', ' Seat Memory ', ' Side and Top View Camera ', ' Smart Key ', ' Speed-Sensing Steering ', ' Sport Package ', ' Sport Seats ', ' Sport Steering Wheel ', ' Sport Suspension ', ' Sportline Package ', ' Stability Control ', ' Steering Wheel Controls ', ' Tachometer ', ' Technology Package ', ' Thermometer ', ' Tire Pressure Monitoring System ', ' Traction Control ', ' Trip Computer ', ' Turn Signal Mirrors ', ' USB Adapter ', ' USB Audio Interface ', ' Vanity Mirror/Light ', ' Wind Deflector ', ' Wood Dash Trim ', ' Wood Door Trim ', ' Wood Trimmed Interior ']"
2015 Audi,S5 Premium Plus," $30,990 ",Carvana Newark,"63,314 mi",USED,"63,314",18 City / 26 Hwy,Convertible,Red,Black,Automatic,AWD,Gasoline,6 Cyl,"[' AM/FM ', ' Adjustable Steering Wheel ', ' Air Conditioning ', ' Alloy Wheels ', ' Anti-Lock Brakes ', ' Anti-Theft System ', ' Bang & Olufsen Sound System ', ' Blind Spot Monitor ', ' Bluetooth ', ' CD (Single Disc) ', ' Cruise Control ', ' Dual Airbags ', ' Fog Lights ', ' Front Knee Airbags (Driver) ', ' Front Knee Airbags (Passenger) ', ' GPS Navigation ', ' Handsfree/Bluetooth Integration ', ' Heated Seats ', ' Keyless Entry ', ' Keyless Ignition ', ' Leather Seats ', ' MP3 ', ' Navigation System ', ' Power Locks ', ' Power Seat (Dual) ', ' Power Steering ', ' Power Windows ', ' Rear Air Conditioning ', ' Rear View Camera ', ' Rear-View Camera ', ' Side Airbags ', ' Side Curtain Airbags ', ' Stability Control ', ' Technology Package ', ' Traction Control ', ' Ventilated Seats ']"
2018 Chevrolet,Camaro 1LT," $30,998 ",Carmax Edison 6098 Edi,"33,623 mi",USED,"33,623",19 City / 29 Hwy,Convertible,Yellow,Black,Automatic,RWD,Gasoline,6 Cyl,"[' AM/FM ', ' Air Conditioning ', ' Alloy Wheels ', ' Anti-Lock Brakes ', ' Apple Carplay ', ' Aux Audio Adapter ', ' Bluetooth ', ' Cloth Seats ', ' Cruise Control ', ' Handsfree/Bluetooth Integration ', ' Keyless Ignition ', ' Power Locks ', ' Power Mirrors ', ' Power Seat (Dual) ', ' Power Windows ', ' Rear View Camera ', ' Rear Window Defroster ', ' Rear-View Camera ', ' Remote Start ', ' Satellite Radio ', ' Satellite Radio Ready ', ' Side Airbags ', ' Smart Key ', ' Spoiler ', ' Traction Control ']"
